onset	duration	trial_no	event_type	stim_id	response_time
0	33	1	rest	n/a	0.000000
33	9	2	stimulus	4086273.005433	0.000000
42	9	3	stimulus	3079230.026890	0.000000
51	9	4	stimulus	3394916.026448	0.000000
60	9	5	stimulus	3394916.026448	61.031254
69	9	6	stimulus	4070727.023757	0.000000
78	9	7	stimulus	2055803.008152	0.000000
87	9	8	stimulus	3400231.021509	0.000000
96	9	9	stimulus	4409515.011072	0.000000
105	9	10	stimulus	4587559.012714	0.000000
114	9	11	stimulus	3837869.008484	0.000000
123	9	12	stimulus	2766534.034864	0.000000
132	9	13	stimulus	4409806.014144	0.000000
141	9	14	stimulus	3038480.003370	0.000000
150	9	15	stimulus	4412416.017390	0.000000
159	9	16	stimulus	1726692.031558	0.000000
168	9	17	stimulus	3085219.006529	0.000000
177	9	18	stimulus	1645776.009693	0.000000
186	9	19	stimulus	3496296.014333	0.000000
195	9	20	stimulus	2317335.020064	0.000000
204	9	21	stimulus	3623556.009879	0.000000
213	9	22	stimulus	3642806.027943	0.000000
222	9	23	stimulus	3642806.027943	0.000000
231	9	24	stimulus	3665924.017703	231.070787
240	9	25	stimulus	3665924.017703	241.207073
249	9	26	stimulus	4442441.001910	0.000000
258	9	27	stimulus	3607659.005173	0.000000
267	9	28	stimulus	2503517.009095	0.000000
276	9	29	stimulus	11978233.042157	0.000000
285	9	30	stimulus	3467796.002261	0.000000
294	9	31	stimulus	3924679.002394	0.000000
303	9	32	stimulus	2131653.005107	0.000000
312	9	33	stimulus	1664990.010648	0.000000
321	9	34	stimulus	1944390.018585	0.000000
330	9	35	stimulus	2346627.013993	0.000000
339	9	36	stimulus	3187595.017111	0.000000
348	9	37	stimulus	3544143.007095	0.000000
357	9	38	stimulus	4168199.009648	0.000000
366	9	39	stimulus	3445777.009793	0.000000
375	9	40	stimulus	1784675.015243	0.000000
384	9	41	stimulus	2226429.015538	0.000000
393	9	42	stimulus	2226429.015538	394.036711
402	9	43	stimulus	3472535.004645	0.000000
411	9	44	stimulus	4482393.013686	0.000000
420	9	45	stimulus	3815615.012836	0.000000
429	9	46	stimulus	2374451.018054	0.000000
438	9	47	stimulus	4146614.010248	0.000000
447	9	48	stimulus	3261776.016887	455.132534
456	9	49	stimulus	3261776.016887	458.030364
465	9	50	stimulus	2432983.018327	0.000000
474	9	51	stimulus	4254680.002701	0.000000
483	9	52	stimulus	3063599.004360	0.000000
492	9	53	stimulus	4320973.007391	0.000000
501	9	54	stimulus	4313503.025193	0.000000
510	9	55	stimulus	13111881.006054	0.000000
519	9	56	stimulus	12596148.005651	0.000000
528	6	57	rest	n/a	0.000000
