onset	duration	trial_no	event_type	stim_file	response_time
0	33	1	rest	n/a	0.000000
33	9	2	stimulus	n04587559_13336.JPEG	0.000000
42	9	3	stimulus	n04412416_12151.JPEG	0.000000
51	9	4	stimulus	n03837869_5198.JPEG	0.000000
60	9	5	stimulus	n03982430_21511.JPEG	0.000000
69	9	6	stimulus	n03394916_47877.JPEG	0.000000
78	9	7	stimulus	n03467796_3445.JPEG	0.000000
87	9	8	stimulus	n04442312_15619.JPEG	0.000000
96	9	9	stimulus	n04086273_12913.JPEG	0.000000
105	9	10	stimulus	n04154565_19381.JPEG	0.000000
114	9	11	stimulus	n03642806_18985.JPEG	0.000000
123	9	12	stimulus	n03472535_190.JPEG	0.000000
132	9	13	stimulus	n03607659_1318.JPEG	0.000000
141	9	14	stimulus	n02808440_33372.JPEG	0.000000
150	9	15	stimulus	n02808440_33372.JPEG	153.044837
159	9	16	stimulus	n03400231_2908.JPEG	0.000000
168	9	17	stimulus	n04113406_25414.JPEG	0.000000
177	9	18	stimulus	n03646296_2966.JPEG	0.000000
186	9	19	stimulus	n03436182_1660.JPEG	0.000000
195	9	20	stimulus	n02439033_8005.JPEG	0.000000
204	9	21	stimulus	n03918737_22699.JPEG	0.000000
213	9	22	stimulus	n04401680_26778.JPEG	0.000000
222	9	23	stimulus	n03445777_5992.JPEG	0.000000
231	9	24	stimulus	n04180888_2422.JPEG	0.000000
240	9	25	stimulus	n04180888_2422.JPEG	242.316251
249	9	26	stimulus	n04146614_4965.JPEG	0.000000
258	9	27	stimulus	n01787835_9197.JPEG	0.000000
267	9	28	stimulus	n03602883_16220.JPEG	0.000000
276	9	29	stimulus	n03743279_12095.JPEG	0.000000
285	9	30	stimulus	n03743279_12095.JPEG	287.286727
294	9	31	stimulus	n03612010_4285.JPEG	0.000000
303	9	32	stimulus	n02432983_24646.JPEG	0.000000
312	9	33	stimulus	n04409806_4052.JPEG	0.000000
321	9	34	stimulus	n03063599_5015.JPEG	0.000000
330	9	35	stimulus	n07756951_15873.JPEG	0.000000
339	9	36	stimulus	n02799175_16780.JPEG	0.000000
348	9	37	stimulus	n04313503_20808.JPEG	0.000000
357	9	38	stimulus	n03792782_7077.JPEG	0.000000
366	9	39	stimulus	n01944390_16184.JPEG	0.000000
375	9	40	stimulus	n01944390_16184.JPEG	377.238495
384	9	41	stimulus	n02374451_18010.JPEG	0.000000
393	9	42	stimulus	n02084071_21054.JPEG	0.000000
402	9	43	stimulus	n01664990_16740.JPEG	0.000000
411	9	44	stimulus	n02692877_7319.JPEG	0.000000
420	9	45	stimulus	n03512147_2038.JPEG	0.000000
429	9	46	stimulus	n02766534_137.JPEG	0.000000
438	9	47	stimulus	n01518878_12028.JPEG	0.000000
447	9	48	stimulus	n03924679_5901.JPEG	0.000000
456	9	49	stimulus	n11978233_18962.JPEG	0.000000
465	9	50	stimulus	n04477387_6623.JPEG	0.000000
474	9	51	stimulus	n02445715_15094.JPEG	0.000000
483	9	52	stimulus	n02445715_15094.JPEG	485.418608
492	9	53	stimulus	n03397947_2934.JPEG	0.000000
501	9	54	stimulus	n03665924_8249.JPEG	0.000000
510	9	55	stimulus	n02054036_21993.JPEG	0.000000
519	9	56	stimulus	n01970164_19716.JPEG	0.000000
528	6	57	rest	n/a	0.000000
