onset	duration	trial_no	event_type	image_file	response_time
0	33	1	rest	null	0.000000
33	9	2	stimulus	n02445715_15094.JPEG	0.000000
42	9	3	stimulus	n02843158_9764.JPEG	0.000000
51	9	4	stimulus	n02843158_9764.JPEG	52.038997
60	9	5	stimulus	n03345487_6365.JPEG	0.000000
69	9	6	stimulus	n03038480_1066.JPEG	0.000000
78	9	7	stimulus	n01639765_48759.JPEG	0.000000
87	9	8	stimulus	n02480855_20865.JPEG	0.000000
96	9	9	stimulus	n04197391_3999.JPEG	0.000000
105	9	10	stimulus	n04412416_12151.JPEG	0.000000
114	9	11	stimulus	n04587559_13463.JPEG	0.000000
123	9	12	stimulus	n03815615_7628.JPEG	0.000000
132	9	13	stimulus	n03815615_7628.JPEG	133.039683
141	9	14	stimulus	n03950228_39297.JPEG	0.000000
150	9	15	stimulus	n04419073_11195.JPEG	0.000000
159	9	16	stimulus	n04284002_13083.JPEG	0.000000
168	9	17	stimulus	n02439033_6549.JPEG	0.000000
177	9	18	stimulus	n04255586_626.JPEG	0.000000
186	9	19	stimulus	n03397947_10813.JPEG	0.000000
195	9	20	stimulus	n02943871_5579.JPEG	0.000000
204	9	21	stimulus	n02005790_7527.JPEG	0.000000
213	9	22	stimulus	n04442441_3265.JPEG	0.000000
222	9	23	stimulus	n03496296_12686.JPEG	0.000000
231	9	24	stimulus	n02233338_17205.JPEG	0.000000
240	9	25	stimulus	n03063599_3234.JPEG	0.000000
249	9	26	stimulus	n02226429_15538.JPEG	0.000000
258	9	27	stimulus	n03079230_22337.JPEG	0.000000
267	9	28	stimulus	n04254680_10170.JPEG	0.000000
276	9	29	stimulus	n02432983_9121.JPEG	0.000000
285	9	30	stimulus	n03261776_40091.JPEG	0.000000
294	9	31	stimulus	n03467796_5051.JPEG	0.000000
303	9	32	stimulus	n01645776_9743.JPEG	0.000000
312	9	33	stimulus	n02374451_19966.JPEG	0.000000
321	9	34	stimulus	n03255030_8996.JPEG	0.000000
330	9	35	stimulus	n02481823_13867.JPEG	0.000000
339	9	36	stimulus	n04376876_10149.JPEG	0.000000
348	9	37	stimulus	n03436182_1660.JPEG	0.000000
357	9	38	stimulus	n03425413_13788.JPEG	0.000000
366	9	39	stimulus	n02346627_2234.JPEG	0.000000
375	9	40	stimulus	n02346627_2234.JPEG	376.040691
384	9	41	stimulus	n03837869_5198.JPEG	0.000000
393	9	42	stimulus	n01877134_10188.JPEG	0.000000
402	9	43	stimulus	n01833805_11890.JPEG	0.000000
411	9	44	stimulus	n03359137_26112.JPEG	0.000000
420	9	45	stimulus	n01768244_6450.JPEG	0.000000
429	9	46	stimulus	n07734017_6281.JPEG	0.000000
438	9	47	stimulus	n04555897_13510.JPEG	0.000000
447	9	48	stimulus	n02808440_19589.JPEG	0.000000
456	9	49	stimulus	n02808440_19589.JPEG	457.041306
465	9	50	stimulus	n04180888_4080.JPEG	0.000000
474	9	51	stimulus	n02317335_20064.JPEG	0.000000
483	9	52	stimulus	n02799175_15265.JPEG	0.000000
492	9	53	stimulus	n02799175_15265.JPEG	493.039491
501	9	54	stimulus	n02766534_34864.JPEG	0.000000
510	9	55	stimulus	n12582231_18321.JPEG	0.000000
519	9	56	stimulus	n04123740_14377.JPEG	0.000000
528	6	57	rest	null	0.000000
