onset	duration	trial_no	event_type	stim_id	response_time
0	33	1	rest	n/a	0.000000
33	9	2	stimulus	2068974.007285	0.000000
42	9	3	stimulus	4477387.003641	0.000000
51	9	4	stimulus	3886762.021877	0.000000
60	9	5	stimulus	3886762.021877	61.040226
69	9	6	stimulus	4320973.009400	0.000000
78	9	7	stimulus	2090827.010084	0.000000
87	9	8	stimulus	2885462.009275	0.000000
96	9	9	stimulus	3649909.021526	0.000000
105	9	10	stimulus	4044716.019527	0.000000
114	9	11	stimulus	12596148.009625	0.000000
123	9	12	stimulus	3335030.041867	0.000000
132	9	13	stimulus	3790512.014883	0.000000
141	9	14	stimulus	3760671.009669	0.000000
150	9	15	stimulus	3394916.047877	0.000000
159	9	16	stimulus	2391049.007263	0.000000
168	9	17	stimulus	4233124.018339	0.000000
177	9	18	stimulus	4233124.018339	0.000000
186	9	19	stimulus	3743279.015645	0.000000
195	9	20	stimulus	3743279.015645	196.044961
204	9	21	stimulus	1770393.024657	0.000000
213	9	22	stimulus	2841315.014915	0.000000
222	9	23	stimulus	2131653.013952	0.000000
231	9	24	stimulus	4398044.014381	0.000000
240	9	25	stimulus	4398044.014381	241.047234
249	9	26	stimulus	4313503.020808	0.000000
258	9	27	stimulus	1855672.011785	0.000000
267	9	28	stimulus	3665924.052000	0.000000
276	9	29	stimulus	3646296.001689	0.000000
285	9	30	stimulus	4482393.013270	0.000000
294	9	31	stimulus	3483823.005222	0.000000
303	9	32	stimulus	4401680.024985	0.000000
312	9	33	stimulus	4401680.024985	313.043731
321	9	34	stimulus	4272054.056965	0.000000
330	9	35	stimulus	3924679.006907	0.000000
339	9	36	stimulus	7758680.015982	0.000000
348	9	37	stimulus	2472293.005718	0.000000
357	9	38	stimulus	2503517.007340	0.000000
366	9	39	stimulus	1704323.010031	0.000000
375	9	40	stimulus	3494278.022114	0.000000
384	9	41	stimulus	3721384.036929	0.000000
393	9	42	stimulus	3793489.011217	0.000000
402	9	43	stimulus	2508213.013464	0.000000
411	9	44	stimulus	3543603.006861	0.000000
420	9	45	stimulus	2802215.021594	0.000000
429	9	46	stimulus	4442312.032591	0.000000
438	9	47	stimulus	4070727.018299	0.000000
447	9	48	stimulus	1664990.013731	0.000000
456	9	49	stimulus	3746005.009272	0.000000
465	9	50	stimulus	3918737.008191	0.000000
474	9	51	stimulus	3544143.014057	0.000000
483	9	52	stimulus	3085219.008998	0.000000
492	9	53	stimulus	3609235.004886	0.000000
501	9	54	stimulus	4591713.004821	0.000000
510	9	55	stimulus	4612026.003878	0.000000
519	9	56	stimulus	3472535.000283	0.000000
528	6	57	rest	n/a	0.000000
