onset	duration	trial_no	event_type	stim_file	response_time
0	33	1	rest	n/a	0.000000
33	9	2	stimulus	n02226429_17165.JPEG	0.000000
42	9	3	stimulus	n04477387_6623.JPEG	0.000000
51	9	4	stimulus	n01787835_10128.JPEG	0.000000
60	9	5	stimulus	n01704323_9812.JPEG	0.000000
69	9	6	stimulus	n01704323_9812.JPEG	70.044505
78	9	7	stimulus	n04255586_878.JPEG	0.000000
87	9	8	stimulus	n03400231_5694.JPEG	0.000000
96	9	9	stimulus	n03400231_5694.JPEG	97.039165
105	9	10	stimulus	n04180888_5987.JPEG	0.000000
114	9	11	stimulus	n03544143_1497.JPEG	0.000000
123	9	12	stimulus	n02974003_6740.JPEG	0.000000
132	9	13	stimulus	n04376876_13235.JPEG	0.000000
141	9	14	stimulus	n04587559_7411.JPEG	0.000000
150	9	15	stimulus	n03472535_8251.JPEG	0.000000
159	9	16	stimulus	n01944390_19503.JPEG	0.000000
168	9	17	stimulus	n02055803_4843.JPEG	0.000000
177	9	18	stimulus	n03483823_7612.JPEG	0.000000
186	9	19	stimulus	n01970164_23221.JPEG	0.000000
195	9	20	stimulus	n03445777_10782.JPEG	0.000000
204	9	21	stimulus	n03793489_1565.JPEG	0.000000
213	9	22	stimulus	n02346627_22283.JPEG	0.000000
222	9	23	stimulus	n03950228_20813.JPEG	0.000000
231	9	24	stimulus	n04497801_76.JPEG	0.000000
240	9	25	stimulus	n02841315_18830.JPEG	0.000000
249	9	26	stimulus	n02799175_7198.JPEG	0.000000
258	9	27	stimulus	n04123740_7009.JPEG	0.000000
267	9	28	stimulus	n02374451_18010.JPEG	0.000000
276	9	29	stimulus	n03085013_24313.JPEG	0.000000
285	9	30	stimulus	n03918737_22699.JPEG	0.000000
294	9	31	stimulus	n01639765_40261.JPEG	0.000000
303	9	32	stimulus	n11978233_26590.JPEG	0.000000
312	9	33	stimulus	n11978233_26590.JPEG	313.045757
321	9	34	stimulus	n03255030_7581.JPEG	0.000000
330	9	35	stimulus	n04168199_9434.JPEG	0.000000
339	9	36	stimulus	n04168199_9434.JPEG	340.040061
348	9	37	stimulus	n02233338_214.JPEG	0.000000
357	9	38	stimulus	n03261776_25824.JPEG	0.000000
366	9	39	stimulus	n01518878_10042.JPEG	0.000000
375	9	40	stimulus	n02814860_35555.JPEG	0.000000
384	9	41	stimulus	n02391049_8178.JPEG	0.000000
393	9	42	stimulus	n02090827_7426.JPEG	0.000000
402	9	43	stimulus	n01645776_9693.JPEG	0.000000
411	9	44	stimulus	n02084071_14426.JPEG	0.000000
420	9	45	stimulus	n02084071_14426.JPEG	421.040710
429	9	46	stimulus	n03494278_35790.JPEG	0.000000
438	9	47	stimulus	n02843158_5600.JPEG	0.000000
447	9	48	stimulus	n04233124_17123.JPEG	0.000000
456	9	49	stimulus	n03394916_30808.JPEG	0.000000
465	9	50	stimulus	n02236241_6815.JPEG	0.000000
474	9	51	stimulus	n04412416_11267.JPEG	0.000000
483	9	52	stimulus	n03612010_16528.JPEG	0.000000
492	9	53	stimulus	n03665924_44847.JPEG	0.000000
501	9	54	stimulus	n03623556_6577.JPEG	0.000000
510	9	55	stimulus	n03609235_7271.JPEG	0.000000
519	9	56	stimulus	n01877134_11991.JPEG	0.000000
528	6	57	rest	n/a	0.000000
