onset	duration	trial_no	event_type	stim_id	response_time
0	33	1	rest	n/a	0.000000
33	9	2	stimulus	2481823.008477	0.000000
42	9	3	stimulus	1855672.015900	0.000000
51	9	4	stimulus	2943871.011050	0.000000
60	9	5	stimulus	2766534.010312	0.000000
69	9	6	stimulus	2317335.030508	0.000000
78	9	7	stimulus	3085013.023800	0.000000
87	9	8	stimulus	3494278.042246	0.000000
96	9	9	stimulus	1944390.020981	0.000000
105	9	10	stimulus	2843158.008492	0.000000
114	9	11	stimulus	3760671.006434	0.000000
123	9	12	stimulus	4254680.001740	0.000000
132	9	13	stimulus	4401680.026778	0.000000
141	9	14	stimulus	4401680.026778	142.033930
150	9	15	stimulus	3793489.008932	0.000000
159	9	16	stimulus	1664990.018293	0.000000
168	9	17	stimulus	3397947.008954	0.000000
177	9	18	stimulus	3397947.008954	178.033344
186	9	19	stimulus	2885462.019412	0.000000
195	9	20	stimulus	2885462.019412	196.053359
204	9	21	stimulus	4044716.006288	0.000000
213	9	22	stimulus	4154565.013637	0.000000
222	9	23	stimulus	4409515.011072	0.000000
231	9	24	stimulus	3335030.010544	0.000000
240	9	25	stimulus	4070727.031219	0.000000
249	9	26	stimulus	1877134.011903	0.000000
258	9	27	stimulus	1784675.022328	0.000000
267	9	28	stimulus	4009552.005313	0.000000
276	9	29	stimulus	7756951.015064	0.000000
285	9	30	stimulus	3359137.016646	0.000000
294	9	31	stimulus	2480855.014628	0.000000
303	9	32	stimulus	4482393.019492	0.000000
312	9	33	stimulus	3837869.004261	0.000000
321	9	34	stimulus	2226429.013460	0.000000
330	9	35	stimulus	3085219.005599	0.000000
339	9	36	stimulus	3543603.002363	0.000000
348	9	37	stimulus	2808440.005873	0.000000
357	9	38	stimulus	3642806.018985	0.000000
366	9	39	stimulus	2841315.035046	0.000000
375	9	40	stimulus	4225987.006665	0.000000
384	9	41	stimulus	4225987.006665	385.057324
393	9	42	stimulus	1518878.012028	0.000000
402	9	43	stimulus	4419073.013393	0.000000
411	9	44	stimulus	3079230.036697	0.000000
420	9	45	stimulus	3541923.011509	0.000000
429	9	46	stimulus	2374451.018054	0.000000
438	9	47	stimulus	2374451.018054	439.040166
447	9	48	stimulus	11978233.041489	0.000000
456	9	49	stimulus	4412416.010353	0.000000
465	9	50	stimulus	2472293.011152	0.000000
474	9	51	stimulus	2503517.008447	0.000000
483	9	52	stimulus	4113406.013944	0.000000
492	9	53	stimulus	3602883.010003	0.000000
501	9	54	stimulus	3607659.008199	0.000000
510	9	55	stimulus	7734017.002386	0.000000
519	9	56	stimulus	2068974.004884	0.000000
528	6	57	rest	n/a	0.000000
