onset	duration	trial_no	event_type	image_file	response_time
0	33	1	rest	null	0.000000
33	9	2	stimulus	n03918737_11347.JPEG	0.000000
42	9	3	stimulus	n02841315_12821.JPEG	0.000000
51	9	4	stimulus	n02068974_2736.JPEG	0.000000
60	9	5	stimulus	n02068974_2736.JPEG	61.029760
69	9	6	stimulus	n03642806_6122.JPEG	0.000000
78	9	7	stimulus	n03345487_22197.JPEG	0.000000
87	9	8	stimulus	n02943871_9326.JPEG	0.000000
96	9	9	stimulus	n02055803_9018.JPEG	0.000000
105	9	10	stimulus	n04412416_6897.JPEG	0.000000
114	9	11	stimulus	n01787835_10392.JPEG	0.000000
123	9	12	stimulus	n01664990_65.JPEG	0.000000
132	9	13	stimulus	n01664990_65.JPEG	133.043097
141	9	14	stimulus	n03038480_3370.JPEG	0.000000
150	9	15	stimulus	n07734744_18574.JPEG	0.000000
159	9	16	stimulus	n03335030_54164.JPEG	0.000000
168	9	17	stimulus	n01770393_14471.JPEG	0.000000
177	9	18	stimulus	n04376876_10606.JPEG	0.000000
186	9	19	stimulus	n03085219_3190.JPEG	0.000000
195	9	20	stimulus	n04180888_8500.JPEG	0.000000
204	9	21	stimulus	n01970164_30734.JPEG	0.000000
213	9	22	stimulus	n03607659_5173.JPEG	0.000000
222	9	23	stimulus	n11978233_16933.JPEG	0.000000
231	9	24	stimulus	n02974003_1210.JPEG	0.000000
240	9	25	stimulus	n02346627_7809.JPEG	0.000000
249	9	26	stimulus	n03815615_19824.JPEG	0.000000
258	9	27	stimulus	n01645776_10130.JPEG	0.000000
267	9	28	stimulus	n01944390_21065.JPEG	0.000000
276	9	29	stimulus	n02998003_5381.JPEG	0.000000
285	9	30	stimulus	n01726692_31558.JPEG	0.000000
294	9	31	stimulus	n03445777_4123.JPEG	0.000000
303	9	32	stimulus	n02005790_10287.JPEG	0.000000
312	9	33	stimulus	n03436182_5137.JPEG	0.000000
321	9	34	stimulus	n03436182_5137.JPEG	322.038424
330	9	35	stimulus	n04197391_15574.JPEG	0.000000
339	9	36	stimulus	n07758680_12418.JPEG	0.000000
348	9	37	stimulus	n02084071_17818.JPEG	0.000000
357	9	38	stimulus	n04401680_21301.JPEG	0.000000
366	9	39	stimulus	n03886762_7939.JPEG	0.000000
375	9	40	stimulus	n04482393_14854.JPEG	0.000000
384	9	41	stimulus	n03467796_2261.JPEG	0.000000
393	9	42	stimulus	n02814860_12908.JPEG	0.000000
402	9	43	stimulus	n04313503_23067.JPEG	0.000000
411	9	44	stimulus	n03924679_3671.JPEG	0.000000
420	9	45	stimulus	n03924679_3671.JPEG	0.000000
429	9	46	stimulus	n02233338_6133.JPEG	0.000000
438	9	47	stimulus	n04044716_10424.JPEG	0.000000
447	9	48	stimulus	n03602883_8804.JPEG	0.000000
456	9	49	stimulus	n02769748_26776.JPEG	0.000000
465	9	50	stimulus	n01768244_9890.JPEG	0.000000
474	9	51	stimulus	n04320973_21297.JPEG	0.000000
483	9	52	stimulus	n03743279_7634.JPEG	0.000000
492	9	53	stimulus	n01518878_5958.JPEG	0.000000
501	9	54	stimulus	n04272054_29465.JPEG	0.000000
510	9	55	stimulus	n04272054_29465.JPEG	511.034094
519	9	56	stimulus	n02236241_6498.JPEG	0.000000
528	6	57	rest	null	0.000000
