onset	duration	trial_no	event_type	category_id	category_index	response_time	evaluation
0	33	1	rest	n/a	n/a	n/a	n/a
33	3	2	cue	3345837.0	28.0	52.209616	5.0
36	15	2	imagery	3345837.0	28.0	52.209616	5.0
51	3	2	evaluation	3345837.0	28.0	52.209616	5.0
54	3	2	inter_rest	3345837.0	28.0	52.209616	5.0
57	3	3	cue	2437136.0	14.0	76.486632	5.0
60	15	3	imagery	2437136.0	14.0	76.486632	5.0
75	3	3	evaluation	2437136.0	14.0	76.486632	5.0
78	3	3	inter_rest	2437136.0	14.0	76.486632	5.0
81	3	4	cue	4572121.0	50.0	100.196444	5.0
84	15	4	imagery	4572121.0	50.0	100.196444	5.0
99	3	4	evaluation	4572121.0	50.0	100.196444	5.0
102	3	4	inter_rest	4572121.0	50.0	100.196444	5.0
105	3	5	cue	1976957.0	7.0	124.024257	5.0
108	15	5	imagery	1976957.0	7.0	124.024257	5.0
123	3	5	evaluation	1976957.0	7.0	124.024257	5.0
126	3	5	inter_rest	1976957.0	7.0	124.024257	5.0
129	3	6	cue	1846331.0	4.0	148.818314	5.0
132	15	6	imagery	1846331.0	4.0	148.818314	5.0
147	3	6	evaluation	1846331.0	4.0	148.818314	5.0
150	3	6	inter_rest	1846331.0	4.0	148.818314	5.0
153	3	7	cue	3710193.0	36.0	172.126334	5.0
156	15	7	imagery	3710193.0	36.0	172.126334	5.0
171	3	7	evaluation	3710193.0	36.0	172.126334	5.0
174	3	7	inter_rest	3710193.0	36.0	172.126334	5.0
177	3	8	cue	3482252.0	32.0	196.70344599999999	4.0
180	15	8	imagery	3482252.0	32.0	196.70344599999999	4.0
195	3	8	evaluation	3482252.0	32.0	196.70344599999999	4.0
198	3	8	inter_rest	3482252.0	32.0	196.70344599999999	4.0
201	3	9	cue	3272010.0	27.0	220.181769	5.0
204	15	9	imagery	3272010.0	27.0	220.181769	5.0
219	3	9	evaluation	3272010.0	27.0	220.181769	5.0
222	3	9	inter_rest	3272010.0	27.0	220.181769	5.0
225	3	10	cue	2128385.0	9.0	244.00839700000003	5.0
228	15	10	imagery	2128385.0	9.0	244.00839700000003	5.0
243	3	10	evaluation	2128385.0	9.0	244.00839700000003	5.0
246	3	10	inter_rest	2128385.0	9.0	244.00839700000003	5.0
249	3	11	cue	3379051.0	29.0	268.185002	4.0
252	15	11	imagery	3379051.0	29.0	268.185002	4.0
267	3	11	evaluation	3379051.0	29.0	268.185002	4.0
270	3	11	inter_rest	3379051.0	29.0	268.185002	4.0
273	3	12	cue	4252077.0	43.0	292.260607	5.0
276	15	12	imagery	4252077.0	43.0	292.260607	5.0
291	3	12	evaluation	4252077.0	43.0	292.260607	5.0
294	3	12	inter_rest	4252077.0	43.0	292.260607	5.0
297	3	13	cue	3064758.0	23.0	317.238339	3.0
300	15	13	imagery	3064758.0	23.0	317.238339	3.0
315	3	13	evaluation	3064758.0	23.0	317.238339	3.0
318	3	13	inter_rest	3064758.0	23.0	317.238339	3.0
321	3	14	cue	4210120.0	42.0	340.830675	4.0
324	15	14	imagery	4210120.0	42.0	340.830675	4.0
339	3	14	evaluation	4210120.0	42.0	340.830675	4.0
342	3	14	inter_rest	4210120.0	42.0	340.830675	4.0
345	3	15	cue	3941684.0	40.0	364.539752	4.0
348	15	15	imagery	3941684.0	40.0	364.539752	4.0
363	3	15	evaluation	3941684.0	40.0	364.539752	4.0
366	3	15	inter_rest	3941684.0	40.0	364.539752	4.0
369	3	16	cue	3954393.0	41.0	388.73314300000004	4.0
372	15	16	imagery	3954393.0	41.0	388.73314300000004	4.0
387	3	16	evaluation	3954393.0	41.0	388.73314300000004	4.0
390	3	16	inter_rest	3954393.0	41.0	388.73314300000004	4.0
393	3	17	cue	2139199.0	10.0	412.65999700000003	4.0
396	15	17	imagery	2139199.0	10.0	412.65999700000003	4.0
411	3	17	evaluation	2139199.0	10.0	412.65999700000003	4.0
414	3	17	inter_rest	2139199.0	10.0	412.65999700000003	4.0
417	3	18	cue	3761084.0	38.0	436.587321	5.0
420	15	18	imagery	3761084.0	38.0	436.587321	5.0
435	3	18	evaluation	3761084.0	38.0	436.587321	5.0
438	3	18	inter_rest	3761084.0	38.0	436.587321	5.0
441	3	19	cue	4297750.0	45.0	460.42992999999996	4.0
444	15	19	imagery	4297750.0	45.0	460.42992999999996	4.0
