onset	duration	trial_no	event_type	image_file	response_time
0	33	1	rest	null	0.000000
33	9	2	stimulus	n03085013_23397.JPEG	0.000000
42	9	3	stimulus	n04254680_1247.JPEG	0.000000
51	9	4	stimulus	n03646296_7086.JPEG	0.000000
60	9	5	stimulus	n12582231_39329.JPEG	0.000000
69	9	6	stimulus	n01963571_16954.JPEG	0.000000
78	9	7	stimulus	n01963571_16954.JPEG	78.495591
87	9	8	stimulus	n03760671_12018.JPEG	0.000000
96	9	9	stimulus	n03425413_22005.JPEG	0.000000
105	9	10	stimulus	n03425413_22005.JPEG	110.041668
114	9	11	stimulus	n03436182_11486.JPEG	0.000000
123	9	12	stimulus	n02481823_12066.JPEG	0.000000
132	9	13	stimulus	n04412416_10353.JPEG	0.000000
141	9	14	stimulus	n03483823_6872.JPEG	0.000000
150	9	15	stimulus	n02055803_9893.JPEG	0.000000
159	9	16	stimulus	n03512147_47076.JPEG	0.000000
168	9	17	stimulus	n04233124_15821.JPEG	0.000000
177	9	18	stimulus	n03261776_29363.JPEG	0.000000
186	9	19	stimulus	n03261776_29363.JPEG	187.040167
195	9	20	stimulus	n04401680_29505.JPEG	0.000000
204	9	21	stimulus	n04180888_5987.JPEG	0.000000
213	9	22	stimulus	n02843158_5377.JPEG	0.000000
222	9	23	stimulus	n02084071_30865.JPEG	0.000000
231	9	24	stimulus	n02841315_14915.JPEG	0.000000
240	9	25	stimulus	n03494278_38237.JPEG	0.000000
249	9	26	stimulus	n03335030_10544.JPEG	0.000000
258	9	27	stimulus	n02439033_14148.JPEG	0.000000
267	9	28	stimulus	n03721384_3497.JPEG	0.000000
276	9	29	stimulus	n02943871_8123.JPEG	0.000000
285	9	30	stimulus	n02882647_7150.JPEG	0.000000
294	9	31	stimulus	n03665924_52000.JPEG	0.000000
303	9	32	stimulus	n04555897_5017.JPEG	0.000000
312	9	33	stimulus	n04555897_5017.JPEG	313.042814
321	9	34	stimulus	n13111881_6560.JPEG	0.000000
330	9	35	stimulus	n04009552_18384.JPEG	0.000000
339	9	36	stimulus	n04442312_19042.JPEG	0.000000
348	9	37	stimulus	n02068974_13351.JPEG	0.000000
357	9	38	stimulus	n01833805_12155.JPEG	0.000000
366	9	39	stimulus	n01704323_8008.JPEG	0.000000
375	9	40	stimulus	n02005790_5354.JPEG	0.000000
384	9	41	stimulus	n02374451_19966.JPEG	0.000000
393	9	42	stimulus	n02374451_19966.JPEG	393.494643
402	9	43	stimulus	n04225987_6877.JPEG	0.000000
411	9	44	stimulus	n04070727_9914.JPEG	0.000000
420	9	45	stimulus	n03607659_8199.JPEG	0.000000
429	9	46	stimulus	n01770393_18012.JPEG	0.000000
438	9	47	stimulus	n03746005_6174.JPEG	0.000000
447	9	48	stimulus	n04272054_29465.JPEG	0.000000
456	9	49	stimulus	n01970164_30734.JPEG	0.000000
465	9	50	stimulus	n04090263_7624.JPEG	0.000000
474	9	51	stimulus	n04168199_10839.JPEG	0.000000
483	9	52	stimulus	n12596148_9625.JPEG	0.000000
492	9	53	stimulus	n01784675_15784.JPEG	0.000000
501	9	54	stimulus	n04612026_10008.JPEG	0.000000
510	9	55	stimulus	n07734017_6281.JPEG	0.000000
519	9	56	stimulus	n01944390_20511.JPEG	0.000000
528	6	57	rest	null	0.000000
