onset	duration	trial_no	event_type	image_file	response_time
0	33	1	rest	null	0.000000
33	9	2	stimulus	n03544143_4767.JPEG	0.000000
42	9	3	stimulus	n02480855_20865.JPEG	0.000000
51	9	4	stimulus	n02503517_7340.JPEG	0.000000
60	9	5	stimulus	n02503517_7340.JPEG	61.050215
69	9	6	stimulus	n04442441_3265.JPEG	0.000000
78	9	7	stimulus	n04086273_28013.JPEG	0.000000
87	9	8	stimulus	n04587559_11857.JPEG	0.000000
96	9	9	stimulus	n04113406_5900.JPEG	0.000000
105	9	10	stimulus	n02131653_2806.JPEG	0.000000
114	9	11	stimulus	n02769748_26776.JPEG	0.000000
123	9	12	stimulus	n04398044_10533.JPEG	0.000000
132	9	13	stimulus	n04398044_10533.JPEG	133.046714
141	9	14	stimulus	n03187595_9059.JPEG	0.000000
150	9	15	stimulus	n03038480_320.JPEG	0.000000
159	9	16	stimulus	n02090827_9359.JPEG	0.000000
168	9	17	stimulus	n04373894_59446.JPEG	0.000000
177	9	18	stimulus	n02317335_11408.JPEG	0.000000
186	9	19	stimulus	n04284002_20945.JPEG	0.000000
195	9	20	stimulus	n04255586_2163.JPEG	0.000000
204	9	21	stimulus	n02346627_7809.JPEG	0.000000
213	9	22	stimulus	n02391049_2789.JPEG	0.000000
222	9	23	stimulus	n03612010_10712.JPEG	0.000000
231	9	24	stimulus	n03886762_14788.JPEG	0.000000
240	9	25	stimulus	n03792782_13140.JPEG	0.000000
249	9	26	stimulus	n01664990_18293.JPEG	0.000000
258	9	27	stimulus	n02799175_13505.JPEG	0.000000
267	9	28	stimulus	n04273569_16391.JPEG	0.000000
276	9	29	stimulus	n03623556_8389.JPEG	0.000000
285	9	30	stimulus	n03743279_4728.JPEG	0.000000
294	9	31	stimulus	n04123740_7009.JPEG	0.000000
303	9	32	stimulus	n04409806_16250.JPEG	0.000000
312	9	33	stimulus	n02800213_21205.JPEG	0.000000
321	9	34	stimulus	n02800213_21205.JPEG	322.042042
330	9	35	stimulus	n03209910_5373.JPEG	0.000000
339	9	36	stimulus	n01726692_21053.JPEG	0.000000
348	9	37	stimulus	n02692877_31838.JPEG	0.000000
357	9	38	stimulus	n04154565_17456.JPEG	0.000000
366	9	39	stimulus	n01518878_7346.JPEG	0.000000
375	9	40	stimulus	n02814860_33006.JPEG	0.000000
384	9	41	stimulus	n03649909_42614.JPEG	0.000000
393	9	42	stimulus	n02808440_1235.JPEG	0.000000
402	9	43	stimulus	n02766534_21124.JPEG	0.000000
411	9	44	stimulus	n03642806_22775.JPEG	0.000000
420	9	45	stimulus	n03642806_22775.JPEG	421.049955
429	9	46	stimulus	n04313503_19773.JPEG	0.000000
438	9	47	stimulus	n03394916_36485.JPEG	0.000000
447	9	48	stimulus	n03793489_5265.JPEG	0.000000
456	9	49	stimulus	n03924679_9951.JPEG	0.000000
465	9	50	stimulus	n03345487_4927.JPEG	0.000000
474	9	51	stimulus	n02998003_5381.JPEG	0.000000
483	9	52	stimulus	n11978233_25018.JPEG	0.000000
492	9	53	stimulus	n04497801_19746.JPEG	0.000000
501	9	54	stimulus	n03472535_21289.JPEG	0.000000
510	9	55	stimulus	n03472535_21289.JPEG	511.037606
519	9	56	stimulus	n03950228_18190.JPEG	0.000000
528	6	57	rest	null	0.000000
