onset	duration	trial_no	event_type	image_file	response_time
0	33	1	rest	null	0.000000
33	9	2	stimulus	n04409515_2581.JPEG	0.000000
42	9	3	stimulus	n02692877_17833.JPEG	0.000000
51	9	4	stimulus	n03544143_1497.JPEG	0.000000
60	9	5	stimulus	n03544143_1497.JPEG	61.042475
69	9	6	stimulus	n01704323_9812.JPEG	0.000000
78	9	7	stimulus	n04412416_8901.JPEG	0.000000
87	9	8	stimulus	n03085219_4267.JPEG	0.000000
96	9	9	stimulus	n04113406_23511.JPEG	0.000000
105	9	10	stimulus	n04591713_2310.JPEG	0.000000
114	9	11	stimulus	n03837869_5857.JPEG	0.000000
123	9	12	stimulus	n04313503_21714.JPEG	0.000000
132	9	13	stimulus	n02974003_8812.JPEG	0.000000
141	9	14	stimulus	n01664990_19923.JPEG	0.000000
150	9	15	stimulus	n04398044_14381.JPEG	0.000000
159	9	16	stimulus	n04197391_15574.JPEG	0.000000
168	9	17	stimulus	n03746005_4914.JPEG	0.000000
177	9	18	stimulus	n03746005_4914.JPEG	178.041112
186	9	19	stimulus	n04320973_9400.JPEG	0.000000
195	9	20	stimulus	n04320973_9400.JPEG	196.031866
204	9	21	stimulus	n03721384_36929.JPEG	0.000000
213	9	22	stimulus	n03494278_27938.JPEG	0.000000
222	9	23	stimulus	n07758680_17888.JPEG	0.000000
231	9	24	stimulus	n02799175_9738.JPEG	0.000000
240	9	25	stimulus	n02799175_9738.JPEG	240.502151
249	9	26	stimulus	n02068974_4884.JPEG	0.000000
258	9	27	stimulus	n02802215_6616.JPEG	0.000000
267	9	28	stimulus	n04233124_14573.JPEG	0.000000
276	9	29	stimulus	n02841315_24352.JPEG	0.000000
285	9	30	stimulus	n01963571_19866.JPEG	0.000000
294	9	31	stimulus	n02481823_15941.JPEG	0.000000
303	9	32	stimulus	n04272054_15977.JPEG	0.000000
312	9	33	stimulus	n04272054_15977.JPEG	313.031094
321	9	34	stimulus	n03261776_25824.JPEG	0.000000
330	9	35	stimulus	n03436182_5137.JPEG	0.000000
339	9	36	stimulus	n02374451_11539.JPEG	0.000000
348	9	37	stimulus	n02843158_8492.JPEG	0.000000
357	9	38	stimulus	n02226429_17436.JPEG	0.000000
366	9	39	stimulus	n04401680_36641.JPEG	0.000000
375	9	40	stimulus	n04442441_5096.JPEG	0.000000
384	9	41	stimulus	n04086273_3464.JPEG	0.000000
393	9	42	stimulus	n03760671_6434.JPEG	0.000000
402	9	43	stimulus	n03609235_3801.JPEG	0.000000
411	9	44	stimulus	n03467796_4268.JPEG	0.000000
420	9	45	stimulus	n04044716_19527.JPEG	0.000000
429	9	46	stimulus	n02472293_13453.JPEG	0.000000
438	9	47	stimulus	n03359137_31119.JPEG	0.000000
447	9	48	stimulus	n02445715_5508.JPEG	0.000000
456	9	49	stimulus	n02054036_17099.JPEG	0.000000
465	9	50	stimulus	n04477387_7585.JPEG	0.000000
474	9	51	stimulus	n03335030_21952.JPEG	0.000000
483	9	52	stimulus	n02391049_10452.JPEG	0.000000
492	9	53	stimulus	n03445777_6926.JPEG	0.000000
501	9	54	stimulus	n04373894_41541.JPEG	0.000000
510	9	55	stimulus	n03792782_8413.JPEG	0.000000
519	9	56	stimulus	n03649909_19563.JPEG	0.000000
528	6	57	rest	null	0.000000
